SKU,Name,UPCBarcode,Price,ImageURL
BT7101-1-BLK-XS,Dana Pants,9360263058844,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Black_1.jpg
BT7101-1-BLK-S,Dana Pants,9360263058851,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Black_1.jpg
BT7101-1-BLK-M,Dana Pants,9360263058868,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Black_1.jpg
BT7101-1-BLK-L,Dana Pants,9360263058875,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Black_1.jpg
BT7101-1-BLK-XL,Dana Pants,9360263058882,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Black_1.jpg
BT7101-1-MNDR-XS,Dana Pants,9360263058899,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Mandarin_1.jpg
BT7101-1-MNDR-S,Dana Pants,9360263058905,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Mandarin_1.jpg
BT7101-1-MNDR-M,Dana Pants,9360263058912,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Mandarin_1.jpg
BT7101-1-MNDR-L,Dana Pants,9360263058929,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Mandarin_1.jpg
BT7101-1-MNDR-XL,Dana Pants,9360263058936,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7101-1_Dana Pants_Mandarin_1.jpg
BT7113-1-BLK-XS,Flora Top,9360263060007,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7113-1_Flora Top_Black_1.jpg
BT7113-1-BLK-S,Flora Top,9360263060014,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7113-1_Flora Top_Black_1.jpg
BT7113-1-BLK-M,Flora Top,9360263060021,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7113-1_Flora Top_Black_1.jpg
BT7113-1-BLK-L,Flora Top,9360263060038,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7113-1_Flora Top_Black_1.jpg
BT7113-1-BLK-XL,Flora Top,9360263060045,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7113-1_Flora Top_Black_1.jpg
BT7113-1-WHT-XS,Flora Top,9360263060106,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7113-1_Flora Top_White_1.jpg
BT7113-1-WHT-S,Flora Top,9360263060113,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7113-1_Flora Top_White_1.jpg
